10,20,8,2,10,5,6
mo,mo,mo,mo,mo,m6,m-,m-,m-,m\
mo,..,..,..,..,..,..,..,..,m|
mo,..,mr,mr,mr,mr,mr,mr,mr,m|
mo,..,m/,m-,m-,m-,m-,m-,m-,m9
mo,..,m|,mo,mo,mo,mo,mo,mo,mo
mo,..,.6,.-,.-,.-,.-,.\,.o,.o
mo,..,..,./,.-,.-,.-,.9,.o,.o
.r,.r,..,.|,..,..,..,..,..,.o
.o,..,..,.|,..,.o,.o,.o,..,.o
.o,..,.r,.9,..,.o,.o,.o,..,.o
.o,..,..,..,..,.o,.o,.o,..,.o
.o,.o,.o,.o,.o,.o,.o,.o,..,.o
.o,.o,.o,.o,..,..,..,..,..,.o
.-,.-,.-,.o,..,.o,.-,.-,.-,.\
.o,..,.g,.o,..,..,m.,m.,m.,.|
.o,..,.r,.r,.r,.r,.r,.r,m.,.|
.o,..,.r,.r,.r,.r,m.,m.,m.,.|
.o,..,.r,.r,.r,.r,m.,.-,.-,.9
.o,..,..,..,..,..,..,..,..,.o
.o,.o,.o,.o,.o,.o,.o,.o,.o,.o
