10,20,1,19,6,7,3
.r,.o,.r,.o,.o,.o,.o,.r,.r,.r
.o,..,..,..,..,..,..,.g,..,.o
.o,..,..,..,..,..,..,..,..,.o
.r,.r,..,..,..,.o,.r,.r,.r,.o
.o,..,..,..,..,..,.6,.-,.-,.-
.o,..,..,..,..,..,..,.r,.r,.r
.r,..,..,..,..,..,..,..,..,.r
.r,..,..,..,..,..,..,..,..,.r
.r,mo,mo,mo,mo,..,..,..,..,.o
.r,mo,mo,mo,mo,..,..,..,..,.o
.r,mo,mo,mo,mo,m.,m.,m.,m.,.o
./,.-,.-,.\,mo,m.,m.,m.,m.,.r
.|,.o,.o,.|,mo,..,..,..,..,.o
.|,.o,.o,.6,.-,.r,..,..,..,mr
.|,.o,.o,.o,.o,.r,..,..,..,mr
m|,..,..,..,..,..,..,..,..,mr
m|,..,..,..,..,..,..,..,..,mr
m|,..,..,..,..,..,..,mr,mr,mr
m|,..,..,m/,m-,m-,m-,m-,m-,m-
m6,m-,m-,m9,m.,m.,m.,mr,mr,mr
