11,22,5,8,8,6,8
.o,.o,.o,.o,.o,.o,.o,.o,.o,.o,.o
.o,.r,.r,.r,.r,.r,.r,..,..,..,.o
.o,..,..,..,m.,m.,..,..,.o,..,.o
.o,..,..,..,m.,m.,..,.r,.r,..,.o
.o,..,./,.-,.-,.-,.\,.o,..,..,.o
.o,..,.|,mr,mr,mr,.|,.o,..,..,.o
.o,..,.6,.-,.-,.-,.9,.o,..,..,.o
.o,..,..,..,..,..,.o,.o,..,..,.o
.o,.o,.o,.o,.o,.o,.o,.o,..,..,.o
./,.-,.-,.-,.o,mr,mr,.o,..,..,.o
.|,..,..,..,..,mr,mr,.o,..,..,.o
.|,..,..,..,..,..,..,.o,..,..,.o
.|,m.,m.,m.,.o,..,..,..,..,..,.o
.|,m.,m.,m.,.o,..,..,..,..,..,.o
.|,m.,m.,m.,.o,.o,.o,.o,.o,.o,.o
.|,..,..,..,..,..,..,..,..,..,.o
.6,.-,.-,.-,.\,..,..,..,..,./,.-
mo,mo,mo,mo,.|,..,..,..,..,.|,mo
mo,mo,mo,mo,.|,..,..,..,..,.|,mo
mo,mo,mo,.g,.6,.-,.o,.o,..,mo,mo
mo,mr,mr,..,..,..,..,..,..,mo,mo
mo,mo,mo,mo,mo,mo,mo,mo,mo,mo,mo
