16,100,7,99,60,50,4
.o,.r,.o,.r,.o,.|,.o,.o,.o,.o,./,.-,.-,.-,.-,.-
.o,./,.-,.-,.-,.9,.o,..,..,.o,.|,.r,.r,.r,.r,.o
.-,.9,..,..,..,.o,.o,..,.g,.o,.r,..,..,.o,.o,.o
.r,..,..,..,..,..,..,..,..,..,..,..,..,..,.o,.o
.o,.o,..,..,..,..,..,..,..,..,.o,.o,..,..,..,.o
.r,.o,..,..,..,..,.r,.r,.r,..,..,.o,..,..,..,.o
mo,mo,..,..,..,..,..,..,..,..,..,..,..,..,..,.o
mo,mo,..,..,..,..,..,..,..,.o,.o,..,m.,m.,.o,.o
mo,m.,m.,mr,mr,mr,m.,..,..,m.,m.,m.,m.,m.,.o,.o
mo,m.,m.,mr,mr,m.,m.,m.,m.,m.,m.,m.,m.,m.,.o,mo
mo,mo,m.,m.,m.,m.,m.,mo,m.,m.,mo,mo,m.,m.,.o,.o
mo,m.,m.,m.,m.,m.,m.,m.,m.,m.,m.,m.,m.,m.,m.,mo
mo,m.,m.,m.,m.,m.,m.,m.,m.,m.,m.,m.,m.,m.,m.,mo
mo,mo,m.,m.,m.,m.,mr,mr,.r,..,..,m.,m.,..,..,.o
mo,..,..,..,..,..,mr,mr,..,..,..,.o,.o,..,mo,.o
.o,..,..,..,..,..,..,..,..,..,..,..,..,..,mo,mo
mo,.o,..,..,.r,..,..,..,..,..,m.,mo,..,m.,.o,.o
mo,.o,..,..,..,.r,..,.r,.-,.\,m.,m.,m.,m.,./,.-
.o,.o,.o,..,..,.|,..,.o,.o,.|,m.,mr,m-,.-,.9,.o
.o,.r,.r,..,..,.|,..,..,.r,.r,m.,m.,mr,.r,.o,.o
.o,./,.-,.r,..,.|,.r,..,..,.|,m.,m.,..,.o,.o,.o
.-,.9,.r,..,..,.r,.r,.r,..,.r,m.,..,..,.o,.o,.o
.o,.o,.o,..,..,..,.r,..,..,..,..,..,..,.o,.o,.o
.o,.o,.o,..,..,..,..,..,..,.r,..,..,..,..,.o,.o
mo,.o,..,..,.o,.o,..,..,.r,..,..,..,..,..,.o,.o
